,reviews,scores,compound,comp_score
0," Looks niceEdit: after 3 months1 dial of the watch broke and i still hv my warranty period but theres no way to claim the warranty, Amazon cant do a thing, u gotta contact the service centre, and i did, and wow guess wt, their numbers dont work, and im left helpless, ","{'neg': 0.153, 'neu': 0.72, 'pos': 0.127, 'compound': -0.1154}",-0.1154,neg
1," the size of dial is very small,the coin is the reference. it's good the chain is not the gold and shiny but ok. ","{'neg': 0.0, 'neu': 0.816, 'pos': 0.184, 'compound': 0.5789}",0.5789,pos
2, Too good just go for it ,"{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}",0.4404,pos
3, Watch tik hai par lock bilkul aacha nahi dikhata othar colour or kabhi bhi khul jata hai ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
4, Very nice look and worth the money ,"{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.6115}",0.6115,pos
5," Product deserve 5 Star , luxurious feel ","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
6, Dial looks big on this picture but it's really very small ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
7," I like its colour, quality.as it is shown in picture ","{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.3612}",0.3612,pos
8, Beautiful watch ,"{'neg': 0.0, 'neu': 0.204, 'pos': 0.796, 'compound': 0.5994}",0.5994,pos
9, Nice product. ,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}",0.4215,pos
10," Looks niceEdit: after 3 months1 dial of the watch broke and i still hv my warranty period but theres no way to claim the warranty, Amazon cant do a thing, u gotta contact the service centre, and i did, and wow guess wt, their numbers dont work, and im left helpless, ","{'neg': 0.153, 'neu': 0.72, 'pos': 0.127, 'compound': -0.1154}",-0.1154,neg
11," the size of dial is very small,the coin is the reference. it's good the chain is not the gold and shiny but ok. ","{'neg': 0.0, 'neu': 0.816, 'pos': 0.184, 'compound': 0.5789}",0.5789,pos
12, Too good just go for it ,"{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}",0.4404,pos
13, Watch tik hai par lock bilkul aacha nahi dikhata othar colour or kabhi bhi khul jata hai ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
14, Very nice look and worth the money ,"{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.6115}",0.6115,pos
15," Product deserve 5 Star , luxurious feel ","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
16, Dial looks big on this picture but it's really very small ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
17," I like its colour, quality.as it is shown in picture ","{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.3612}",0.3612,pos
18, Beautiful watch ,"{'neg': 0.0, 'neu': 0.204, 'pos': 0.796, 'compound': 0.5994}",0.5994,pos
19, Nice product. ,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}",0.4215,pos
20, Good product ,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,pos
21," Good watch, I really liked the design dial is big and also I got the instrument to adjust the chain size so it's very handy. Stopwatch works very well.Four stars because of 1 Cons in the watch it says the watch needle has radium which glows in dark whereas the light performance of the radium is not so good. It doesn't glow much in the dark. Has low light reception.Rest everything is perfect. ","{'neg': 0.064, 'neu': 0.814, 'pos': 0.121, 'compound': 0.6772}",0.6772,pos
22, GOOD ITEM THANKS ,"{'neg': 0.0, 'neu': 0.147, 'pos': 0.853, 'compound': 0.7003}",0.7003,pos
23, Super I like this watch nice and worth for money ,"{'neg': 0.0, 'neu': 0.311, 'pos': 0.689, 'compound': 0.8779}",0.8779,pos
24, Very rich look.  Thank you ,"{'neg': 0.0, 'neu': 0.311, 'pos': 0.689, 'compound': 0.7688}",0.7688,pos
25, I like very much.same watch given.amazing watch.i m so happy .thnks amozen ,"{'neg': 0.0, 'neu': 0.525, 'pos': 0.475, 'compound': 0.8042}",0.8042,pos
26," good quality and finish, value for money ","{'neg': 0.0, 'neu': 0.485, 'pos': 0.515, 'compound': 0.6486}",0.6486,pos
27, Quality is sooo good. And that too at reasonable price. ,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}",0.4404,pos
28, Best watch ,"{'neg': 0.0, 'neu': 0.192, 'pos': 0.808, 'compound': 0.6369}",0.6369,pos
29, Same as shown in picture..... really loved it a lot.....pretty and classy product.....tq so much....must go for it....❤️ ,"{'neg': 0.0, 'neu': 0.679, 'pos': 0.321, 'compound': 0.796}",0.796,pos
30," This is my 2nd watch of this company, I m highly satisfied with this, finishing is very good and looking wise excellent. Quality is very good than other barand. ","{'neg': 0.0, 'neu': 0.575, 'pos': 0.425, 'compound': 0.9458}",0.9458,pos
32, Beautiful product ,"{'neg': 0.0, 'neu': 0.204, 'pos': 0.796, 'compound': 0.5994}",0.5994,pos
33, Good watch and good build quality ,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.7003}",0.7003,pos
34,                         The media could not be loaded.                      घड़ी अच्छी है।और क्या कहे । ये मेरी तीसरी घड़ी है । ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
35," Date is slowing down. Also i could see differences in minutes , it’s slowing too. Better buy a branded good quality watch , which has warranty and service center near you . Its worth your time and money. Trust me, it’s just an eye wash, I too loved the product at the beginning, but  it turns out to be garbage . Don’t judge it, by how it appears. ","{'neg': 0.0, 'neu': 0.849, 'pos': 0.151, 'compound': 0.7876}",0.7876,pos
36, Online it looks like gold coated but when it arrives look so dull and like copper coated chain ,"{'neg': 0.191, 'neu': 0.606, 'pos': 0.202, 'compound': -0.1869}",-0.1869,neg
37, It's completely not working with in 3 months ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
38, Everything is super ,"{'neg': 0.0, 'neu': 0.339, 'pos': 0.661, 'compound': 0.5994}",0.5994,pos
39," The watch is good, business and formal style watch face with ss strap working chronograph, everything is working fine, except one thing which sounds funny to me i.e the date changes after 12pm not 12am.This watch can be used on special occasions only, more usage may peel off the black coating on ss strap and dial. Rest all is good. ","{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.9042}",0.9042,pos
40," Value for money. Good looking, stylish ","{'neg': 0.0, 'neu': 0.43, 'pos': 0.57, 'compound': 0.6486}",0.6486,pos
41," It's a very bad quality watch I ever seen in my life, it has brok after using two times!! ","{'neg': 0.215, 'neu': 0.785, 'pos': 0.0, 'compound': -0.6572}",-0.6572,neg
42, Not matches the price to product quality.... It just 300₹ to 400₹ range ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
43, Its very much worth its price and looks very good and quality wise also. ,"{'neg': 0.0, 'neu': 0.565, 'pos': 0.435, 'compound': 0.8162}",0.8162,pos
44, My Nibosi watch Model no.2309 has defects and it was in warranty period .so how i change my watch because No contact of company was shown here ,"{'neg': 0.17, 'neu': 0.83, 'pos': 0.0, 'compound': -0.5994}",-0.5994,neg
45," Nibosi watch is very beautiful, worthwhile & durable, Never brought in the world in this price.thanks to nibosi and God bless you. ","{'neg': 0.0, 'neu': 0.591, 'pos': 0.409, 'compound': 0.895}",0.895,pos
46, All good ,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,pos
47," The product is good, amazing price, value for money. I recommend to those who want to buy risk watch buy NIBOS products. ","{'neg': 0.07, 'neu': 0.5, 'pos': 0.43, 'compound': 0.8689}",0.8689,pos
48," Strong built, price is a bit higher but overall I am happy to have it. ","{'neg': 0.0, 'neu': 0.604, 'pos': 0.396, 'compound': 0.802}",0.802,pos
49, Bit pricey and the dial should be in black colour only. It's made in China product ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
50, It's Just big oneI need a small ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
51, Buckel is very loose ,"{'neg': 0.464, 'neu': 0.536, 'pos': 0.0, 'compound': -0.3804}",-0.3804,neg
52, In my assumption not that worthGlass is low quality but by appearance is good they can change glass and sell it will be good ,"{'neg': 0.051, 'neu': 0.694, 'pos': 0.255, 'compound': 0.7992}",0.7992,pos
53," I like this watch,  so super ","{'neg': 0.0, 'neu': 0.286, 'pos': 0.714, 'compound': 0.8172}",0.8172,pos
54, Best ,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6369}",0.6369,pos
55, It's good ,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,pos
56, Battery was very old. It got discharged within a week ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
57, Good product. ,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,pos
58, Like ,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",0.3612,pos
59, मैं अपने फादर&लव इन के लिए ये वॉच खरिदा अछि है Nibosi क्रोनोगग्राफ ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
60, Value for money I felt. I have another Nibosi watch which I am happy about and made a second purchase. This watch is great too. ,"{'neg': 0.0, 'neu': 0.638, 'pos': 0.362, 'compound': 0.8807}",0.8807,pos
61, Good ,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,pos
62,                         The media could not be loaded.                      Good watch.... ,"{'neg': 0.256, 'neu': 0.744, 'pos': 0.0, 'compound': -0.3412}",-0.3412,neg
63, Good One but absence of double lock in this range watch is big despointment. ,"{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.2382}",0.2382,pos
64, The product I received was awesome as per my expectations. Thank you for such an awesome service ,"{'neg': 0.0, 'neu': 0.549, 'pos': 0.451, 'compound': 0.8934}",0.8934,pos
65, Nice...😊 ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
66,"                         The media could not be loaded.                      Hopeless it's not working write fast day.The delivery boy came delivered rushed away he did not wait to check the product.Even now I do not know whom to ask, for service.If to take to watch service center no person is repair. They are saying it useless.This worst product I bought in Amazon.But outer looks fine.But it doesn't work at all. ","{'neg': 0.09, 'neu': 0.874, 'pos': 0.036, 'compound': -0.5886}",-0.5886,neg
67," Looks perfect , worth of money , classic executive  look....... ","{'neg': 0.0, 'neu': 0.517, 'pos': 0.483, 'compound': 0.6808}",0.6808,pos
68, It is good watch ,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",0.4404,pos
69, Excellent product! Must buy product ,"{'neg': 0.0, 'neu': 0.501, 'pos': 0.499, 'compound': 0.6114}",0.6114,pos
